Name,Address,City,State,Zip,source,CISID,cluster_id,confidence
walmart sc imp 1488,7001 concourse pkwy,douglasville,ga,301344549,flna,1768917,93,0.977709949
walmart sc 3403,3615 charles hardy pkwy,dallas,ga,301579472,flna,2221546,94,0.977709949
walmart sc imp 3403,3615 charles hardy pkwy,dallas,ga,301579472,flna,2221547,94,0.977709949
walmart sc 618,4166 jimmy lee smith pkwy,hiram,ga,301412647,flna,1603690,95,0.984058142
walmart sc imp 0618,4166 jimmy lee smith pkwy,hiram,ga,301412647,flna,1770736,95,0.984058142
walmart sc 1586,1355 e west connector,austell,ga,301061351,flna,1138989,96,0.977709949
walmart sc imp 1586,1355 e west connector,austell,ga,301061351,flna,1768921,96,0.977709949
walmart sc 3205,1100 thornton rd,lithia springs,ga,301222616,flna,1965367,97,0.977709949
walmart sc imp 3205,1100 thornton rd,lithia springs,ga,301222616,flna,1965368,97,0.977709949
walmart sc 3611,6520 ernest w barrett pkwy sw,marietta,ga,300644571,flna,2252867,98,0.977709949
walmart sc imp 3611,6520 ernest w barrett pkwy sw,marietta,ga,300644571,flna,2252868,98,0.977709949
walmart nm 5815,2909 austell rd sw,marietta,ga,300086845,flna,42109483,99,0.977709949
walmart nm imp 5815,2909 austell rd sw,marietta,ga,300086845,flna,42109485,99,0.977709949
walmart sc 0722,1735 s highway 27,carrollton,ga,301178941,flna,104256,100,0.969202817
walmart sc imp 722,1735 s highway 27,carrollton,ga,301178941,flna,1768396,100,0.969202817
walmart sc 0856,404 us highway 27 byp,bremen,ga,301101950,flna,219122,101,0.969202817
walmart sc imp 856,404 us highway 27 byp,bremen,ga,301101950,flna,1768906,101,0.969202817
walmart sc 2732,600 carrollton villa rica hwy,villa rica,ga,301804969,flna,1910206,102,0.977709949
walmart sc imp 2732,600 carrollton villa rica hwy,villa rica,ga,301804969,flna,1910207,102,0.977709949
walmart sc 3709,2427 gresham rd se,atlanta,ga,303163709,flna,2222661,103,0.977709949
walmart sc imp 3709,2427 gresham rd se,atlanta,ga,303163709,flna,2222662,103,0.977709949
walmart sc 787,7050 highway 85,riverdale,ga,302742981,flna,252598,104,0.983407199
walmart sc imp 787,7050 highway 85,riverdale,ga,302742981,flna,1768940,104,0.983407199
walmart sc imp 3710,3580 memorial dr,decatur,ga,300322723,flna,2385772,105,0.981474545
walmart sc imp 594,3580 memorial dr,decatur,ga,300322723,flna,1770300,105,0.9716201
walmart sc 3710,3580 memorial dr,decatur,ga,300322723,flna,2385771,105,0.969031103
walmart sc 745,5600 n henry blvd,stockbridge,ga,302813246,flna,1638156,106,0.983407199
walmart sc imp 745,5600 n henry blvd,stockbridge,ga,302813246,flna,1770697,106,0.983407199
walmart sc 3402,1400 hudson bridge rd,stockbridge,ga,302815018,flna,2251844,107,0.977709949
walmart sc imp 3402,1400 hudson bridge rd,stockbridge,ga,302815018,flna,2251845,107,0.977709949
walmart sc 855,4735 jonesboro rd,union city,ga,302911915,flna,231213,108,0.983407199
walmart sc imp 855,4735 jonesboro rd,union city,ga,302911915,flna,1768404,108,0.983407199
walmart sc 3401,6149 old national hwy,college park,ga,303494479,flna,2258016,109,0.977709949
walmart sc imp 3401,6149 old national hwy,college park,ga,303494479,flna,2258017,109,0.977709949
walmart sc 1047,6065 jonesboro rd,morrow,ga,302601168,flna,272633,110,0.977709949
walmart sc imp 1047,6065 jonesboro rd,morrow,ga,302601168,flna,1768944,110,0.977709949
walmart sc 3609,2940 anvil block rd,ellenwood,ga,302942403,flna,2392720,111,0.977709949
